Branch,10th_%,12th_%,Degree_Sem_1_Cgpa,Degree_Sem_2_Cgpa,Degree_Sem_3_Cgpa,Degree_Sem_4_Cgpa,Degree_Sem_5_Cgpa,Programming_Skills,Communication_Skills_Out_Of_5,English_Grammar_Out_Of_5,Status,skill_have
4,80,68.53,6.65,6.85,6,6.94,8,0,4,4,1,"Keil software, microcontroller"
1,89.6,59.6,5.48,6.47,6.19,7.44,9.67,2,4,4,0,Java programming 
3,75,68.53,6.65,6.85,8.86,7.25,7,0,3,3,0,Coding and Programming
3,92,76,5.69,5.17,6.88,6.48,8.96,1,3,4,1,"C, C++"
3,70,79.69,6.89,7.19,7.19,8.76,9.33,2140,4,3,1,"NETWORKING:-I Have worked on CISCO PACKET TRACER.
C PROGRAMING:-I have done c programing during my first year.
Embedded C:-I have done course on embedded systems.Embedded C was used on LPC 2148.
HTML:-I have done course of HTML on Coursera and I have the certificate. 
MICROSOFT EXCEL,MICROSOFT OFFICE,SCILAB"
3,79,59.6,5.69,5.87,5.96,5.08,9.33,0,5,3,0,I'm good in core electronics and embedded systems 
1,84.4,73.3,6.56,7.78,7.38,8.63,9.52,135,4,3,1,"C,C++,HTML, Python, Database"
1,88.2,85.4,5.96,5.93,7.03,7.3,9.74,43,5,4,0,"MACHINE LEARNING, PYTHON"
3,79.4,68.53,6.65,6.85,5.81,7.76,8.67,0,4,4,0,Networking and Cyber Security
3,87,81,6.67,6.45,6.23,7.84,9,15,2,3,1,"C++,Data Structures and Algorithms, Dart ,Flutter with firebase, SQL"
1,88.2,66.7,6.07,6.69,6.54,8.3,9.85,350,4,5,1,"Python with Data Science, My SQL 8x. with PL/SQL Database Programming "
7,97.8,89.8,9.91,9.7,9.31,10,9.59,0,5,4,0,"Basic Course of ICE
Auto Cad 
PTC Creo
C language"
1,86.8,69.3,6.3,6.11,7.58,7.11,9.07,1213,3,3,1,"1. Good Programming knowledge
2. Familiar with C and C++ programming language
3.Basic knowledge about web development"
3,78,51.69,6.65,6.85,6.92,7.88,9.33,121523,4,4,0,"1. Known softwares-. Catia, multisim, cisco packet tracer, matlab ,scilab
2. languages: c++, MySQL, java, python
 And I have knowledge of microprocessors and microcontrollers as well."
5,74.2,77.5,8.04,7.67,7.74,7.96,9.18,3,4,4,0,"I have knowledge about 3D model designing, Programming. "
1,92.8,83.6,8.81,8.56,9.23,9.67,9.78,235,3,3,0,"C, java, python, sql"
3,87.2,68.53,7.67,6.93,7.12,8.88,9.07,3,4,4,1,Basic knowledge about python programming and aws fundamentals:going cloud native 
1,91.8,68.53,8.56,8.09,7.92,9.41,9.52,232435,5,5,1,"Technical frameworks Django, flask, angular and ionic for website and mobile app development. Web languages HTML, CSS, JavaScript, Typescript.
Automation using Selenium and Python.
Programming languages Python, C, Java.
Technical fields: Machine Learning, Natural Language Processing, Data Analysis and Geospatial data analysis, website development, mobile application development, backend development using python, frontend technologies.
Worked with databases technology sqlite, SQL, PostgreSQL
Querying language: SQL"
4,84,72,7.11,6.3,6.04,7.41,8.74,35,5,5,1,"Python , SQL"
3,70,67,7.78,5.87,6.81,6.04,9.3,1,4,4,1,I know basics of C and C++.
7,91.2,68.53,6.65,6.85,9.27,10,9.93,3,4,4,0,"Moderate level 3d Modelling and CAD, Basics of Python and Arduino"
3,83.4,68.53,6.17,6.06,5.96,7.28,9.11,3512,3,4,0,"Python
Database management system 
C/C++ and java basics
Web development, automation anywhere and deep learning basics
"
5,71,50,5.67,5.81,5.07,4.67,8.36,1,3,3,0,"C,C++"
5,80.2,70.2,5.24,5.8,6.85,6.96,8.96,13,5,4,0,"Digital Marketing, Solid Works, C C++, Python, Some Kind of Graphics Software, ESVC, Team Management Leadership, Time Management,"
1,89.8,83.6,7.57,6.94,7.04,9.1,9.1,315,5,5,1,"I have a good command over languages like python,c,c++.Also have knowledge of operating system,database and data structure and algorithms"
2,87.2,68.53,6.65,6.85,7.31,8.85,9.31,25,4,4,1,"algorithms and data structures, java ,sql"
3,75.6,68.53,6.65,6.85,6.08,7,8.81,25,3,3,1,"Basic knowledge of HTML, CSS, JavaScript, MS-Excel, MySQL"
2,87.2,68.53,6.65,6.85,7.31,8.85,9.35,1235,4,5,1,"HTML,C,C++,java,python ,SQL"
1,90.2,79.5,6.67,8,8.23,9.52,10,3,4,4,1,"C, Python"
1,92.8,83.2,7.78,7.96,7.43,9.28,9.56,23,5,5,1,"Fluent In Web Technologies (HTML, CSS , Javascript, Bootstrap) , Angular, Ionic, Figma (UX Designing Software) & Wireframing , Excel, Tableau, Python, Agile Methodology (Project Management)"
1,92.8,84.9,8.2,8.3,9.31,10,9.93,35052,5,5,1,"Python with Data Science, MYSQL 8.x WITH PL/SQL DATABASE PROGRAMMING, Android app development using KOTLIN, HTML, CSS, JavaScript, Java (basics), C language(basics)."
6,87.8,69.2,6.39,5.56,7.57,8.17,9.33,0,4,4,1,"MS Office , Staad Pro , Basic HTML"
7,89.6,68.1,6.3,6.36,6.83,8.8,9.67,2,4,4,1,"Autocad, Creo , Java, AWS , html , CSS , Docker , Kubernetes, ReactJs"
1,77.4,68.53,5.57,6.41,6.81,8.41,9.26,31,4,4,0,"Python, Django, C, C++"
3,90.6,79.6,7.4,8.5,7.85,9.8,9.67,1352,3,3,1,"C
C++
Python
SQl
GIT/Github
Java 
MongoDb"
2,93.2,89.3,7.93,8.89,8.46,9.69,9.38,23,4,4,1,I have basic knowledge of java and python with relevant knowledge in web development. I am also well aware of all the aspects involved in the project management and software development process. Other than this I also have the basic knowledge of cybersecurity and networking.
3,82.4,66.3,6,6,6.5,7.2,8.96,21,4,4,0,"Java,  Html,  C++"
6,92.6,68.53,6.65,6.85,9.65,10,9.22,0,4,4,1,"AutoCAD, Excel, MS word"
2,88.2,8,7.4,7.2,7.6,8.54,9.4,0,4,3,1,Programming
1,87,82,7.37,7.74,6.85,8.33,9.7,34,3,2,0,"Python,Machine Learning"
3,68.8,68.53,6.65,6.5,7.12,7.32,9.33,302,5,5,0,Python/java
1,89,62,5.6,6.9,6.65,6.45,8.81,34,4,5,0,"Python for data analysis, data science , data cleaning , power bi for visualization ,machine learning for prediction, basic web development "
3,83.8,57.8,5.85,6.48,7.46,8,9.22,234,3,3,0,"I am taking training on campus corners training program (java, DBMS, python, machine learning & data science)"
2,84.6,68.53,6.65,6.85,6.19,6.96,9.88,123,4,4,1,"c++,java,python"
1,81.6,66.7,5.7,5.93,5.4,6.74,9.7,325,4,4,1,"Python,Java,Sql,web development"
1,82,63,6.26,7.28,6.58,7.93,9.7,3,4,4,0,"Python, Web development, Data Management, Android App Development"
3,87.6,68.3,6.93,8.56,8.5,8.6,9.85,13,4,4,1,"C/C++, basic skills about IOT, Arduino, python"
2,83.8,68.53,7.15,6.24,6.92,6.08,8.15,2,3,4,1,"I have knowledge of programming languages like C, Java, Html, javasrcipt. Learning web developmrent and android app development."
1,56.4,60.3,6.78,7.56,5.31,6.59,8.44,3,3,3,0,"C,Python"
1,86.6,70.6,7.8,6.8,6.42,8.44,9.56,341,5,5,0,"Beginniner at Python and Machine Learning, Intermediate in C and C++, HTML, etc. Hacker rank coder"
5,73.6,52.6,7.04,7.3,6.01,6.84,8.93,0,3,3,1,"Communication Skill, Ms-Office, AutoDesk Inventor "
1,68.28,65.5,5.22,6.37,6.08,7.33,9.19,235,3,4,1,"C, java, python, SQL"
1,84.8,68.53,7.3,6.26,6.7,8.63,9.26,123525,4,4,0,"Programming Language : C, C++, Java, Python, Php, Sql, Javascript

Object Oriented Programming system and 
Data structure & Algorithm concept known

Web Development : HTML, CSS, Reactjs, Nodejs

Database : Mysql, Mongodb

Framework : Bootstrap, ExpressJs, Django

Ide used : VS code, Jupyter, Netbeans, Pycharm"
5,90.8,79.2,8.13,7.98,7.96,7.7,8.04,3,3,3,1,Basics of 3d modelling.
3,73.2,65.6,6.3,6.42,7.5,7.4,9.44,23,3,3,0,"I know JAVA, DBMS, PYTHON and have basic knowledge of INTERNET OF THINGS. "
3,73.2,65.6,6.4,6.41,7.5,7.52,9.44,325,3,4,1,"I have knowledge of python, java programming, SQL database, IOT, Cyber security. "
3,82.4,59.4,6.65,6.85,7.4,9.65,9.56,2,3,3,0,"Basics in c and java , workshop of networks"
1,7.6,6,6.33,6.61,7.46,8.11,9.52,2,4,4,0,"My interest in technical skills is for web development using HTML, CSS, and java. Currently, I am practicing for reactjs and vuejs to upgrade my skills towards this field"
6,80.2,61.2,5.67,6.56,6.22,7.52,0,0,4,4,0,Some Knowledge About Road & Building Construction & Surveying
6,91.8,77.5,7.19,5.59,5.48,6.63,9.07,0,4,4,0,"Autocad
Staad pro
Ms office 
Ms excel
"
3,58.4,68.53,6.65,6.85,6.58,6.68,9.07,34,4,5,1,LEARNING PYTHON AND MACHINE LEARNING
2,76.4,68.53,6.4,6.5,5.5,5.96,7.56,2351,5,5,0,"Java, Python, HTML, HTML5, CSS, C++, Web development, DBMS "
5,93.8,86.4,6.46,7.04,7.11,8.33,9.04,12,5,5,0,"I have a good knowledge of my subjects
I know basic programming
Languages known: C,C++, java"
2,71.2,58.1,5.76,6.26,6.35,7.92,9.5,35325,3,3,1,"Programming language:- python
Framework:- Bootstrap,node.js, express.js
Web:- HTML5,CSS3, JavaScript
Database:- MySQL,Mongodb
Additional:- MS Excel, git and GitHub"
3,79.6,48.4,6.65,6.85,5.92,6.96,9.3,34,4,4,0,"Learning python, Machine learning"
1,88.4,68.7,6.74,6.02,5.69,5.63,8.3,0,4,4,0,Good at communication and desire to learn new skills.
1,95.4,82.1,7.93,6.91,6.5,7.96,9.67,3,3,4,1,"Python, C, HTML, CSS"
1,88,78.62,7.44,7.74,7.92,8.33,8.66,2325,4,4,1,"Languages: C, Java Python, HTML, CSS, JavaScript
Database: MySQL"
1,91.2,75.4,7.93,8.11,7.54,9.7,9.56,2,5,5,1,"C,java, ML, DBMS"
2,80,56,6.4,5.6,6,5.4,8.9,2,4,5,0,"Web development,java "
1,92.4,80.7,7.5,8.65,8.54,9.85,9.63,3,4,4,1,Pretty good at Python
5,85.46,64.7,6.06,6.85,6.74,6.11,8.86,0,3,3,0,Good in designing softwares like AutoCAD
5,81,70,7.52,7.59,7.85,9.41,9.25,31,3,3,0,"I have a good skills in 3d designing models using CAD and NX, in braking of automation vehicle, C++, Digital marketing(my personal website), used teamcenter trainning, CNC maching, basics  of german language, of course a good listener and quick leaner with hardworking. "
3,86,68.53,6.65,6.85,7.19,6.44,8.93,0,3,3,0,"Scilab,had little knowledge of c , had did soldering and mounting the components at internship"
1,87.4,68.53,6.65,6.85,5.5,8.11,9.75,352,3,3,0,"Python programming, My Sql, Web page designing using HTML, CSS, Javascript, Operating system - windows."
1,87.4,68.53,6.65,6.85,5.5,8.11,9.78,352,3,3,0,"programming- Python, Database - My Sql, Web page designing using HTML, CSS, Javascript, Operating system - windows."
6,82,69,6.33,6.81,6.57,6.98,9.91,0,4,3,1,"Ms office , auto cad"
6,81.8,68.53,6.2,6.28,6.57,6.54,9.41,0,3,3,0,"I have done AutoCAD , Staddpro course in civil engineering and also concrete technology."
2,77,62,5.94,6.39,7.08,6.92,9.65,3,4,4,1,"Have basic knowledge of Python, C & HTML Languages. Have advance knowledge in WordPress, Website Building & doing SEO. I have designed many websites for myself and my customers for their work stuff. "
3,71,68.53,6.65,6.85,6.19,6.4,7.9,2,2,4,0,"Basic coding(java,c)"
7,73.6,55.8,6.78,6.95,7.3,7.8,9.3,0,4,4,1,"Ms office
Writer
Spreedsheets
Programmer
Content developer"
1,83.4,68.53,5.41,6.15,6.73,5.778,8.26,32,4,4,1,Can work with Python and Java with intermediate difficulty. 
2,76,60.46,6.11,6.44,7.04,7.73,9.88,3255,4,3,1,"Programing language-Python
Web development-HTML,CSS,JAVASCRIPT
Framework- PHP
Database-MySQL
Database Management system "
6,74.4,50.4,6.65,6.85,7.43,7.61,8.4,0,4,4,1,"Quantity Surveying , StaadPro , AutoCad, Concrete Mix Design , MS Office , MS Project"
6,90,78.31,7.33,7.85,8,9.33,9.22,0,4,4,1,"Staadpro , AutoCad"
5,91.4,74.4,7.74,8.11,7.78,8.63,9.29,12353,4,4,1,"Robotics, C, C++, Java, Python, Embedded Systems, HTML, CSS, SQL, CAD, 3D printing, ROS, Electric Vehicle manufacturing, IoT"
1,90.02,68.53,5.67,7.15,6.3,7.52,9.2,32,4,5,0,"Experienced in Python3, Java , C ,React redux, css"
6,78.2,66.7,5.59,6.26,7.52,5.5,9.26,0,4,4,1,"AutoCad, Revit, Staad Pro, Excel, Google Sketchup, V-Ray."
7,90.2,68.53,7.3,7.87,7.28,8.77,9.69,0,4,4,1,Desining and intership done at Diesel Loco shed in Railways
1,88.4,76.6,7.26,6.63,7.5,8.63,8.96,35,5,5,1,"Python, Android development, Database Management, C, HTML, CSS."
3,79.4,71.5,5.3,6.17,7.65,6.92,8.89,32,4,3,1,"Python, Java"
3,80.6,58.9,7.09,6.5,8.73,0,8.93,0,4,4,0,No
1,84.6,66.6,5.81,7.33,7.12,7.89,9.19,235,4,4,1,"C, Java, Python, web development and database concepts"
1,80.4,64.7,6.26,5.89,7.96,6.22,9.26,3,4,5,1,"Basic knowledge about programming Python, C language ,Web Development,Video Editing."
1,87.8,86.7,8.67,7.78,8.15,8.56,9.11,32,4,4,1,"Python, C, html, css,JavaScript"
2,90.2,7,6.5,6.52,6.7,7.46,9.69,1,3,3,1,I have little knowledge of c++ 
1,90.2,82.9,7.74,6.33,6.46,7.15,8.07,34,4,4,1,"Python , C , Html , CSS , Machine Learning"
5,88.6,87.6,8.56,8.89,8.67,9.85,9.86,1323,4,4,1,"I am an enthusiastic learner in the field of Manufacturing, Industrial Robotics, CAD Designing, PLC.
I have hands on experience about AutoCAD, NX-11, Autodesk Inventor.
In the field of robotics I am learning about the linux based Robotics operating System and interested in gaining the knowledge about the same.
Also if I get a chance I would like to contribute in the field of 3D manufacturing. 

I also have knowledge about the programming languages. I have learnt C, Java and Python programming language with all the basics cleared. If got a opportunity I would like to develop my knowledge in the same."
7,88.8,68.53,6.65,6.85,8.58,9.85,9.74,314,4,4,0,"ANSYS(Static Structural and Steady state Thermal, APDL), Autodesk INVENTOR, Fluid Dynamics, Finite Element Methods, Python, C++, Basics of Data Science and Machine Learning, Data Analysis"
3,62.4,68.53,6.65,6.85,8.12,5.84,7.74,1,3,3,1,"PCB DESIGNING , c++, microcontroller, mechatronics"
3,91.4,83.3,7.63,7.67,6.96,8.36,9.33,0,3,2,1,"HTML, CSS, LINUX, C, DBMS"
3,57.8,46.9,6.65,6.85,8.27,5.32,8.04,3,3,3,1,Python and Microcontroller
7,74.2,83.6,6.74,7.07,7,8.27,8.81,0,3,3,1,"I have a good hold at software's like solid-works and Ansys as I'm interested in designing. I am the member of our FSAE TEAM (supra competition) of engine department and have developed teamworking skills and problem solving skills their. I can handle pressure and work with same efficiency under pressure.
 { I have design gear shifter for our FSAE vehicle in lockdown period and have also worked to improve intake system of the car } "
1,91.8,78.9,6.3,7.17,5.85,8,9.56,32532,4,4,1,"Python ,C, Java(Basic), HTML5, CSS3, Javascript, Bootstrap, PHP, Codeigniter Framework, Django Framework, React js, Git, OS: Windows, Linux"
1,90.2,88.4,7.78,8.3,8.04,9.85,10,235,4,4,1,"C Programming Language, Java: Core Java, OOP's concepts, Python, Relational database: MySQL, Web Technologies: HTML, CSS, Version control system: Git "
3,67.8,68.53,6.65,6.85,8.08,6.84,9.78,5,4,3,0,"Intrested in mini project related electronic device basic knowledge of C language, MySQL and matlab"
2,72,65.69,6.5,7.67,7,7.88,9.38,23,3,3,0,"c, java, html, css, python"
7,91.2,68.53,6.65,6.85,7.46,7.46,9.78,0,4,4,0,Have knowledge of software autocad. Attended Basic SAP course during diploma. Also did internship during diploma in BEST.
2,84.2,62.6,6.78,7.44,7.58,8.35,9.88,235,3,3,1,"Knowledge of programming languages: C,Java,Python 
Front end developer
Knowledge of backend (SQL, MongoDB,Django)"
1,86.4,71.6,5.41,5.74,8.31,6.56,9.3,324,4,4,1,"Python, Java, C, DBMS, HTML, CSS, JavaScript, Machine Learning"
2,74,73.54,7.37,5.78,7.15,6.62,8.15,2532,5,5,1,"Basic knowledge of C programming, Java, MySQL. Good knowledge of Python , HTML CSS and JavaScript"
7,88.8,75,7.78,7.63,7.31,9.42,10,0,4,3,1,"Problem Solving, Understanding Manufacturing Processes, Basics of Product Designing and Modelling, Team Working Skill."
4,83,69.38,5.94,6.17,6.19,7.79,9.07,25,4,4,1,"Programming Languages : JAVA (Intermediate), C(Familiar)
Tools and Technologies : Git , Github , SQL , Android Development
Subjects : Database Management System , Operating System , Computer 
                  Networks , Object Oriented Programming"
2,88.2,67.2,5.52,5.96,5.12,5.85,9.54,35,5,5,1,"HTML, CSS, Bootstrap, Angular, Python, SQL"
1,79.2,60,5.7,6.7,6.69,7.63,9.3,3,5,5,1,"C, PYTHON, DBMS"
6,83,68.53,6.65,6.85,8.26,8.5,9.15,0,4,4,0,"Knowledge and exposure to the civil industry. 
Internship at repairs and developing companies. 
Knowledge of softwares such as AutoCAD, STAADPro., M. S. Office, Excel
Good softskills, and Not giving up attitude and completion of work in estimated time. "
3,94.8,77.5,6.74,7.78,6.96,8.88,9.33,2,3,3,1," hav a knowledge about java,html,matlab"
5,79.4,68.53,6.65,6.85,7.15,6.85,9.18,0,4,4,0,"Can work on softwares like AutoCAD, Inventor, Coreldraw
Can work on Arduino
"
7,89.4,68.53,6.65,6.85,9.31,10,10,1.20E+15,5,4,1,"1) Proficiency in SOLIDWORKS as completed course from CADD CENTRE.
2) Completed INTERNSHIP at Dabir Precitech(Invest Casting Company) from June 2021 to July 2021.
3)ISHRAE NSDC participation- 2021 to 2022
4) Basic Python and DBMS (SQL)
5) ISHRAE student member for the year 2020-2021.
6) Completed offline workshop on refrigerator maintenance and repairing.
7) Completed offline workshop on two wheeler and four wheeler maintenance."
7,87.6,68.53,6.65,6.85,7.12,7.54,9.41,35,4,3,1,"I have knowledge about PTC Creo, also I have knowledge about CAD and in programming languag I known some basic of Python, Database (SQL) "
7,67,62.15,6,7.28,6.69,6.88,9.58,0,4,4,1,"PTC CREO PARAMETRIC, NX BY SEIMENS (CAD+FEA), AUTO CAD, Basics of ANSYS MECHANICAL"
3,82,62,6.65,6.85,6.6,9.3,9.74,0,4,4,0,Matlab basic
1,91.4,65.6,6.96,5.91,6.3,6.96,9.45,35,4,4,0,"Python, SQL, Kali Linux, C programming basics"
4,70,55.3,6.5,4.9,6.7,5.9,6.5,23,4,4,0,"Java, Python,DBMS"
1,82,61.54,6.07,6.61,6,7.15,9.85,123255,5,4,1,"Programming Language: C,C++, Java, Python, PHP, JavaScript.
Web development: HTML5, CSS, Django.
Database: Oracle, MySql Server.
Operating System: Microsoft Windows(Word, PPT)"
4,88.6,63.2,5.46,5.78,5.92,6.72,7.7,3,4,3,1,Basic of python
7,91.4,69.6,5.7,6.89,6.73,7.81,9.85,123,4,3,1,"1.I have knowledge of SOLID WORKS, 
   ANSYSS, AUTOCAD ,PTC CREO
2.I worked in SAE- SUPRA
3.I did intership at ST-WORKSHOP, Vidya 
   vihar so I also heaving knowledge of 
   enginee and other components of 
   vehicle

"
7,91.4,69.6,5.7,6.89,6.73,7.81,9.85,12341,4,3,1,"1.I have knowledge about design software like AUTOCAD, PTC CREO, SOLID WORK, ANSYS.
2.I have completed internship at Maharashtra State Road Transport corporation.
3.I am active member of club SAE India
4.I worked in a team Genesis Motorsports for design and fabrication of F1 racing vehicle under compitition SUPRA.
"
4,72,54.46,5.37,6.43,6.77,5.55,9.11,3,4,3,1,"SMPS Designing, PCB Designing,3D printing."
2,92.5,68.53,6.8,5.6,6.77,6.88,9.5,0,5,5,0,"My technical skills include web development, programming, operating systems."
2,82,68,5.72,6,7.08,8,8.73,0,3,5,1,"graphic and animation designing ,  desktop management , cloud computing"
3,88.8,72.9,6.67,5.94,6.5,8.32,9.74,1352,4,4,0,"1) Programming Languages - C++, Python, MySQL, HTML, MATLAB, Scilab
2) Networking - Cisco Packet Tracker"
3,80.2,68.53,6.65,6.85,6.61,8.24,9.37,3,3,3,1,"Basics of python and C language
And Circuit making knowledge"
5,86,59.19,6.65,6.85,6.63,7.48,9.29,31,4,5,0,"Python
C
C++
MATLAB
CAD/CAM
Adobe Photoshop CC
Adobe Premier Pro/ Premier Rush
Audacity
FL Studio
MS Word
MS Powerpoint
MS Excel 
"
3,93.6,80.4,6.53,7,6.58,8.24,8.67,0,3,3,1,Don't have specific skills
2,79.2,68.53,6.65,6.85,7.35,8.23,9.85,32,3,3,0,"I have knowledge of python, django, html, css, JS, PHP, JAVA. my interest is in web development. I completed some projects on it."
1,90.2,68.53,6.65,6.85,6.92,8.15,9.52,12325,4,4,1,"Having Knowledge of C++, JAVA, PYTHON, HTML, CSS,JAVASCRIPT,SQL"
7,87.4,63.8,7.04,7.44,6.62,8.23,8.04,1234,3,3,1,"1. CREO
2. ANSYS
3. Heatload calculations
4. Cooling system design for a complete building."
2,87.6,55.6,6.04,5.91,5.08,5.69,9.54,23,3,4,1,"Web designing and development Java, Python"
1,85,68.53,6.65,6.85,5.77,8.44,9.85,12,4,4,0,"C, C++, JAVA, HTML"
1,77.99,70.8,6.22,7.41,7.56,7.67,9.26,25,5,4,1,"My competence is with full stack development. Technical skills include JavaScript (TypeScript), React.js (Gatsby.js, Next.js), Node.js (Express), MongoDB & MySQL."
5,71.4,68.53,6.65,6.85,6.41,6.26,8.61,3,4,4,0,"Advanced course on solidworks, Training on NX design, course on python language. "
