Branch,10th_%,12th_%,Degree_Sem_1_Cgpa,Degree_Sem_2_Cgpa,Degree_Sem_3_Cgpa,Degree_Sem_4_Cgpa,Degree_Sem_5_Cgpa,Programming_Skills,Communication_Skills_Out_Of_5,English_Grammar_Out_Of_5,Salary
2,88.4,71.3,7.27,7.3,7.2,8.98,9.8,5.25E+02,5,5,11
1,88,70.77,6.93,6.85,6.73,9.86,10,32,5,4,9.5
1,89.2,76.7,6.56,6.87,7.5,8.11,9.63,12,4,4,8.4
1,92.8,83.2,7.78,7.96,7.43,9.28,9.56,23,5,5,7.5
1,84.6,66.6,5.81,7.33,7.12,7.89,9.19,235,4,4,7.5
1,87.4,78.8,5.91,6.89,8.15,9.56,9.19,4,4,4,7.5
1,89.4,76.3,8.26,8.06,7.69,9.41,9.7,325,5,5,7.5
1,85.2,92.7,7.33,8.44,8.15,8.96,9.33,34,4,4,7.5
7,89.6,68.1,6.3,6.36,6.83,8.8,9.67,2,4,4,6.5
1,77.99,70.8,6.22,7.41,7.56,7.67,9.26,25,5,4,6.5
2,78.4,68.53,6.65,6.85,7.65,9.27,9.77,52,5,4,6.5
2,93.6,68.53,9.11,9.11,9.08,10,10,23,5,5,6.5
1,81.6,72.3,6.19,6.78,6.88,9.22,9.85,123,5,5,6.5
1,93,74,6.72,6.07,7.46,9.07,9.44,32,3,3,6.5
1,89.4,87,9.31,8.74,9.54,10,10,32,4,4,6.5
1,82,68.53,6.65,6.85,7.58,9.81,9.85,2315,4,4,6.5
1,91.5,81.4,7.72,8.15,8.38,9.37,8.96,2354,5,5,6.5
1,83,69.23,5.65,7,7,8,10,12,5,5,6.5
3,89.6,73.3,8,8.41,7.62,9.36,9.56,325,5,4,6.5
1,82,68.53,6.65,6.85,5.73,7.5,9.56,35,5,5,6.37
1,88.2,85.4,5.96,5.93,7.03,7.3,9.74,43,5,4,6
1,92.8,88.3,9,8.96,9.81,10,9.56,312,4,4,6
1,86,83,7.44,7.09,7.08,9.22,9.67,35,4,5,6
1,82.2,60.7,5.3,5.69,6.12,6.26,8.56,1325,4,4,6
1,90.8,72.3,6.33,6.72,6.58,7.81,9.85,1523,5,5,6
1,86.8,69.3,6.3,6.11,7.58,7.11,9.07,1213,3,3,5.5
1,87,82,7.37,7.74,6.85,8.33,9.7,34,3,2,5.5
1,90.02,68.53,5.67,7.15,6.3,7.52,9.2,32,4,5,5.5
3,92,75.38,6.65,6.85,7.19,6.78,8.78,25,4,4,5.5
2,87.4,68.53,7.8,8.15,8.25,8.45,9.6,0,5,5,5.5
1,73.4,64.1,6.57,5.94,6.23,7.33,9.33,0,3,3,5.5
1,91.4,68.53,6.65,6.85,6.19,7.15,9.63,123,5,5,5.5
3,84.6,74.9,7.74,7.89,665,7.96,9.7,121324355,3,3,5.5
1,91.8,68.53,8.56,8.09,7.92,9.41,9.52,232435,5,5,5
2,84.6,68.53,6.65,6.85,6.19,6.96,9.88,123,4,4,5
2,77,62,5.94,6.39,7.08,6.92,9.65,3,4,4,5
5,91.4,74.4,7.74,8.11,7.78,8.63,9.29,12353,4,4,5
1,88.4,76.6,7.26,6.63,7.5,8.63,8.96,35,5,5,5
1,90.2,88.4,7.78,8.3,8.04,9.85,10,235,4,4,5
3,88.8,63.8,5.63,5.91,6.08,5.2,6.93,21,4,4,5
3,84,81.23,8.3,7.56,8.15,9.68,9.19,3125,4,3,5
1,87.8,78.8,6.12,6.96,7.12,8,9.75,325,5,4,5
3,71.4,58.6,5.96,6.89,8.15,7.12,9.56,532,5,5,5
1,90.8,68.53,7.52,7.33,8.12,9.7,10,235,4,4,5
1,90.8,68.53,7.53,7.33,8.12,9.7,10,253,4,4,5
3,88.8,72.3,6.67,7,7.42,8.88,8.78,0,2,3,5
2,94,73.4,5.61,5.57,6.12,7.54,9.42,0,4,4,5
2,88.4,58.6,6.93,7.78,7.62,8.96,9.08,2532,4,4,5
2,70.3,68.53,6.65,6.85,6.46,6.12,8,3,4,5,5
1,93,88.3,7.04,7.33,7.88,9.11,10,35,5,5,5
1,85,70,6.3,7.1,6.7,8.5,9.85,3,5,5,5
3,95,82.46,9.33,9.59,9.46,10,7.3,23552,3,3,5
5,74.2,77.5,8.04,7.67,7.74,7.96,9.18,3,4,4,4.5
5,93.8,86.4,6.46,7.04,7.11,8.33,9.04,12,5,5,4.5
7,89.2,68.53,6.65,6.85,8.81,9.42,9.48,360,3,4,4.5
5,88.6,87.8,7.39,7.43,7.74,7.7,8.68,3,3,3,4.5
1,69.6,63.3,6.65,6.65,7.65,6.67,9.56,35,4,4,4.5
7,83,64,5.16,5.71,5.75,6.7,8.9,0,5,5,4.5
1,91,84.15,7.93,9.11,9.31,10,10,35,4,4,4.5
7,85.4,68.53,6.65,6.85,6.92,8.27,9.33,1,4,4,4.5
3,83,66,6,6.34,6.54,7.01,9.54,9005002,4,4,4.5
7,84.8,68.53,6.65,6.85,7.15,7.96,9.59,0,3,4,4.5
4,78.4,68.53,5.72,6.61,5.88,6.66,8.52,3,3,3,4.5
2,74.6,60.4,5.75,7.2,7.73,5.31,9.73,0,4,4,4.5
1,93.6,71.6,8.19,7.81,7.97,8.48,8.78,325,4,4,4.5
2,88.2,67.2,5.52,5.96,5.12,5.85,9.54,35,5,5,4.3
1,77.9,64.9,6.63,6.67,7.58,8,9.85,351,3,3,4.3
4,90.2,77.5,6.85,6.72,7.26,8.14,8.85,0,4,4,4.3
1,84.4,74.3,5.78,5.897,6,7.37,9.3,32,4,5,4.3
3,83.6,81.8,5.94,6.04,6.46,6.28,9.22,4,4,4,4.3
1,82,61.54,6.07,6.61,6,7.15,9.85,123255,5,4,4.12
1,78.67,74.3,7.82,7.89,9.02,10,9.41,1325,4,4,4.12
2,89.4,78.4,6.28,5.72,6.85,9.54,9.65,325,3,3,4.12
1,93.8,87.5,8.67,8.15,8.69,10,9.85,352,5,4,4.12
1,95,89.07,8.07,6.85,9.27,9.56,9.85,1235,5,4,4.12
1,84.4,73.3,6.56,7.78,7.38,8.63,9.52,135,4,3,4
3,87,81,6.67,6.45,6.23,7.84,9,15,2,3,4
1,88.2,66.7,6.07,6.69,6.54,8.3,9.85,350,4,5,4
3,87.2,68.53,7.67,6.93,7.12,8.88,9.07,3,4,4,4
2,87.2,68.53,6.65,6.85,7.31,8.85,9.31,25,4,4,4
1,90.2,79.5,6.67,8,8.23,9.52,10,3,4,4,4
1,92.8,84.9,8.2,8.3,9.31,10,9.93,35052,5,5,4
3,90.6,79.6,7.4,8.5,7.85,9.8,9.67,1352,3,3,4
2,93.2,89.3,7.93,8.89,8.46,9.69,9.38,23,4,4,4
2,88.2,8,7.4,7.2,7.6,8.54,9.4,0,4,3,4
1,89,62,5.6,6.9,6.65,6.45,8.81,34,4,5,4
1,86.6,70.6,7.8,6.8,6.42,8.44,9.56,341,5,5,4
1,7.6,6,6.33,6.61,7.46,8.11,9.52,2,4,4,4
2,76.4,68.53,6.4,6.5,5.5,5.96,7.56,2351,5,5,4
2,71.2,58.1,5.76,6.26,6.35,7.92,9.5,35325,3,3,4
2,80,56,6.4,5.6,6,5.4,8.9,2,4,5,4
1,87.4,68.53,6.65,6.85,5.5,8.11,9.78,352,3,3,4
1,83.4,68.53,5.41,6.15,6.73,5.778,8.26,32,4,4,4
5,88.6,87.6,8.56,8.89,8.67,9.85,9.86,1323,4,4,4
3,91.4,83.3,7.63,7.67,6.96,8.36,9.33,0,3,2,4
1,91.8,78.9,6.3,7.17,5.85,8,9.56,32532,4,4,4
2,74,73.54,7.37,5.78,7.15,6.62,8.15,2532,5,5,4
1,79.2,60,5.7,6.7,6.69,7.63,9.3,3,5,5,4
2,92.5,68.53,6.8,5.6,6.77,6.88,9.5,0,5,5,4
3,93.6,80.4,6.53,7,6.58,8.24,8.67,0,3,3,4
1,90.2,68.53,6.65,6.85,6.92,8.15,9.52,12325,4,4,4
1,78,68.53,6.65,6.5,6.73,8.63,9.19,1232532,5,4,4
3,65.2,60.9,6,5.96,5.5,7.76,8.37,2,4,4,4
1,85.8,62.6,6.57,6.7,6.92,7.48,9.74,3,5,5,4
1,80,80,6.89,6.31,6.42,7.89,9.7,3,4,4,4
3,93.6,70.3,7.3,7.48,6.73,9.52,9.63,3,3,3,4
1,85.4,68.53,6.65,6.85,6.96,8.85,9.33,12,4,3,4
2,85,69,6.89,7.07,7.54,9.27,9.62,5234,5,5,4
1,80.2,69.2,6.26,7.15,6.92,7.37,9.41,315,4,4,4
4,80,73,6.39,6.17,6.19,7.48,9.26,253,4,4,4
2,81,68.53,6.65,6.85,5.42,7.23,9.35,125,3,3,4
1,82.8,73.6,7.04,6.78,8.07,9.48,9.33,325,5,5,4
7,90,78,7.48,7.87,8.27,10,9.78,1,4,4,4
2,90.4,68.53,6.65,6.85,7.35,8.15,9.65,25,4,4,4
1,80.6,68.53,6.65,6.85,7.19,7.67,9.89,215,4,4,4
1,9.6,66.9,6.41,6.02,5.88,7.67,8.96,352,4,4,4
6,93.4,84.1,7.31,7.69,7.74,8.15,9.26,1,4,4,4
1,78.6,62.9,6.07,6.46,5.69,7.44,9.7,321,4,4,4
2,82.2,72.7,6.59,6.96,6.69,7.69,8.85,235,3,3,4
7,93.6,68.53,5.94,6.52,7.46,8.23,9,13,4,4,4
1,93.2,68.53,6.48,7.11,7.35,9.56,9.85,123,4,4,4
2,86,68.53,6.4,6.1,5.3,5.2,8.31,235,4,4,4
5,70.8,60.1,5.54,6.94,5.93,6.56,8.46,4,4,4,4
1,90,76.31,6.83,6.85,7.46,9.37,9.93,35,4,4,4
1,91.4,65.6,7.44,7.15,7.19,9.37,9.85,132,5,4,4
1,90.4,75.2,6.65,6.85,5.92,7.59,8.61,2132,5,5,4
2,78,60,5.5,7.48,6.27,7.75,9.77,3212,4,4,4
1,96,78.15,6.83,7.41,6.73,8.78,9.7,235,5,5,4
1,91,68,6.7,6.87,5.65,7.67,9.78,3,5,5,4
1,79.4,68.53,6.65,6.85,5.96,7.63,9.3,32,3,4,4
2,83.25,65.2,5.93,6.64,6.27,6.92,8.65,2352,4,4,4
1,91,70.62,8.41,9.19,7.65,8.56,9.7,23524,5,5,4
7,86,80.77,7,8,7.69,8.65,9.3,0,3,3,4
3,85,68,6.61,6.85,7.57,8.8,9.52,123,3,3,4
1,94,83.07,6.78,7.19,7.62,8.22,9.52,0,4,5,4
4,82.6,68.53,6.65,6.85,6.81,6.08,8.89,0,4,4,4
2,83.4,68.53,5.8,5.67,5.77,7.12,9.65,3,4,4,4
3,80,54,6.65,6.85,6.15,7.2,9.52,2,4,4,4
1,76.4,68.53,5.3,5.35,5.12,6.07,8.67,35,4,4,4
2,92.2,75,7.43,8.19,8.46,9.35,9.35,235,4,4,4
7,90.4,68.53,6.65,6.85,7.88,9.5,9.59,0,5,4,4
1,86.4,62.6,6.48,6.67,7.35,8.81,9.04,2,4,3,4
1,87,74.62,6.31,6.41,5.81,8,9.85,34,5,4,4
1,87.2,62.3,5.76,6.24,8.04,7.26,8.84,2315,4,4,4
3,87.2,82.1,6.87,8.41,6.5,8.5,9.81,253,5,5,4
2,80.2,70.6,6,6.19,6.62,5.58,8.42,0,5,4,4
2,84,57,6.65,6.85,7.73,9.12,9.42,1232,5,5,4
1,85,68.4,6.2,6.8,6.4,6.4,8.24,1,4,5,4
1,73.6,68.53,6.85,6.85,6.92,7.67,9.56,3,4,3,4
1,92.8,74.7,6.74,8.2,7.96,8.81,9.56,123,4,4,4
3,73.6,60.1,5.94,6.65,7.69,7.24,9.19,23,3,3,4
1,83.33,67.5,6.85,6.67,6.19,6.04,9.04,32,4,4,4
3,77,68.31,5.65,5.83,6.69,6.04,8.48,132345123,4,4,4
1,77.2,72.6,6.85,7.63,6.92,8.63,9.56,235,3,3,4
1,85.5,76.7,7.13,6.65,6.96,9.26,9.85,35,4,3,4
5,82.6,70.6,5.48,5.41,5.85,7.33,9.32,3,3,4,4
1,84.2,68.53,5.67,6.09,5.96,7,8.85,0,4,5,4
1,100,69.54,6.94,6.48,6.96,7.89,9.07,352,4,4,4
1,95.2,68.53,8.67,8.5,8.4,9.85,10,32535,5,4,4
1,91.6,81.2,7.89,7.52,7.65,9.37,9.85,3,4,4,4
4,83.8,59.6,5.67,4.8,6.35,7.21,9.11,21,4,4,3.65
3,83.6,77.5,7.44,7.04,6.54,8.04,9.48,2,4,4,3.65
3,78,51.69,6.65,6.85,6.92,7.88,9.33,121523,4,4,3.6
1,80.4,64.7,6.26,5.89,7.96,6.22,9.26,3,4,5,3.6
1,87.8,86.7,8.67,7.78,8.15,8.56,9.11,32,4,4,3.6
2,72,65.69,6.5,7.67,7,7.88,9.38,23,3,3,3.6
3,75,62.92,6.67,6.59,8.31,10,9.41,3.46E+13,4,2,3.6
1,76.44,68.53,6.65,6.85,6.9,9.6,10,23,3,3,3.6
1,92,85.23,8.67,8.04,7,8.67,9.78,24,5,5,3.6
1,91.2,80.3,7.19,8.15,7.92,9.37,8.37,3535,3,3,3.6
3,84.6,57.3,6.11,6.33,6.12,8.24,9.37,1253,4,4,3.6
7,89.2,68.53,6.65,6.85,8.53,10,9.7,360243,4,4,3.6
3,88.8,76.1,6.7,7.89,8,9.84,9.78,235,3,3,3.6
1,71,58.31,5.56,5.93,6.73,5.04,8.85,354,3,4,3.6
7,78.6,70.1,7.26,7.7,7.46,9.15,9.44,132,4,4,3.6
5,87.5,7,6,6.5,6.5,7.4,8.1,343,5,5,3.6
